cod_article;name;reference;description;brand;category;collection;stock;price;color;materials
;Be Right Back Mesh;BERIGHT/CYAN 42;Baskets Be Right Back mesh gris et bleu ciel. Empiècements synthétiques blancs superposés, logo flèches emblématique et languette rayée au talon. Semelle volumineuse à picots crème.;off-white;basket;SS26;1;489;Light Grey/Cyan Celeste;Mesh and synthetic upper, textile lining, rubber outsole
;Be Right Back Mesh;BERIGHT/CYAN 43;Baskets Be Right Back mesh gris et bleu ciel. Empiècements synthétiques blancs superposés, logo flèches emblématique et languette rayée au talon. Semelle volumineuse à picots crème.;off-white;basket;SS26;1;489;Light Grey/Cyan Celeste;Mesh and synthetic upper, textile lining, rubber outsole
;Be Right Back Mesh;BERIGHT/CYAN 44;Baskets Be Right Back mesh gris et bleu ciel. Empiècements synthétiques blancs superposés, logo flèches emblématique et languette rayée au talon. Semelle volumineuse à picots crème.;off-white;basket;SS26;1;489;Light Grey/Cyan Celeste;Mesh and synthetic upper, textile lining, rubber outsole
;Be Right Back Mesh;BERIGHT/MAGE 39;Baskets Be Right Back mesh blanc avec accents magenta, bleu roi et jaune. Logo flèches noir et rose sur le côté, semelle texturée et extérieure à crampons jaune pâle.;off-white;basket;SS26;1;549;Magenta/Royal Blue;Mesh and synthetic upper, textile lining, rubber outsole
;Be Right Back Mesh;BERIGHT/MAGE 40;Baskets Be Right Back mesh blanc avec accents magenta, bleu roi et jaune. Logo flèches noir et rose sur le côté, semelle texturée et extérieure à crampons jaune pâle.;off-white;basket;SS26;1;549;Magenta/Royal Blue;Mesh and synthetic upper, textile lining, rubber outsole
;Be Right Back Mesh;BERIGHT/MAGE 41;Baskets Be Right Back mesh blanc avec accents magenta, bleu roi et jaune. Logo flèches noir et rose sur le côté, semelle texturée et extérieure à crampons jaune pâle.;off-white;basket;SS26;1;549;Magenta/Royal Blue;Mesh and synthetic upper, textile lining, rubber outsole
;Be Right Back Mesh;BERIGHT/MAGE 42;Baskets Be Right Back mesh blanc avec accents magenta, bleu roi et jaune. Logo flèches noir et rose sur le côté, semelle texturée et extérieure à crampons jaune pâle.;off-white;basket;SS26;1;549;Magenta/Royal Blue;Mesh and synthetic upper, textile lining, rubber outsole
;Be Right Back Mesh;BERIGHT/MAGE 43;Baskets Be Right Back mesh blanc avec accents magenta, bleu roi et jaune. Logo flèches noir et rose sur le côté, semelle texturée et extérieure à crampons jaune pâle.;off-white;basket;SS26;1;549;Magenta/Royal Blue;Mesh and synthetic upper, textile lining, rubber outsole
;Be Right Back Mesh;BERIGHT/PINK 38;Baskets Be Right Back mesh blanc et rose pastel. Empiècements superposés noir et rose, logo flèches blanc sur le quartier et semelle à picots rose.;off-white;basket;SS26;1;489;White/Soft Pink;Mesh and synthetic upper, textile lining, rubber outsole
;Be Right Back Mesh;BERIGHT/PINK 40;Baskets Be Right Back mesh blanc et rose pastel. Empiècements superposés noir et rose, logo flèches blanc sur le quartier et semelle à picots rose.;off-white;basket;SS26;1;489;White/Soft Pink;Mesh and synthetic upper, textile lining, rubber outsole
;Be Right Back Mesh;BERIGHT/PINK 41;Baskets Be Right Back mesh blanc et rose pastel. Empiècements superposés noir et rose, logo flèches blanc sur le quartier et semelle à picots rose.;off-white;basket;SS26;1;489;White/Soft Pink;Mesh and synthetic upper, textile lining, rubber outsole
;Be Right Back Mesh;BERIGHT/PINK 42;Baskets Be Right Back mesh blanc et rose pastel. Empiècements superposés noir et rose, logo flèches blanc sur le quartier et semelle à picots rose.;off-white;basket;SS26;1;489;White/Soft Pink;Mesh and synthetic upper, textile lining, rubber outsole
;Be Right Back Mesh;BERIGHT/PINK 43;Baskets Be Right Back mesh blanc et rose pastel. Empiècements superposés noir et rose, logo flèches blanc sur le quartier et semelle à picots rose.;off-white;basket;SS26;1;489;White/Soft Pink;Mesh and synthetic upper, textile lining, rubber outsole
;Be Right Back Mesh;BERIGHT/PINK 44;Baskets Be Right Back mesh blanc et rose pastel. Empiècements superposés noir et rose, logo flèches blanc sur le quartier et semelle à picots rose.;off-white;basket;SS26;1;489;White/Soft Pink;Mesh and synthetic upper, textile lining, rubber outsole
;Be Right Back Knit;BERIGHT/SDBLK 38;Baskets Be Right Back en maille technique bicolore sable et noir. Motif graphique sur toute la tige, laçage rapide à stoppeur et inscription OFF sur la semelle. Extérieure crantée noire.;off-white;basket;SS26;1;395;Sand/Black;Knit textile upper, synthetic overlays, rubber sole
;Be Right Back Knit;BERIGHT/SDBLK 39;Baskets Be Right Back en maille technique bicolore sable et noir. Motif graphique sur toute la tige, laçage rapide à stoppeur et inscription OFF sur la semelle. Extérieure crantée noire.;off-white;basket;SS26;1;395;Sand/Black;Knit textile upper, synthetic overlays, rubber sole
;Be Right Back Knit;BERIGHT/SDBLK 40;Baskets Be Right Back en maille technique bicolore sable et noir. Motif graphique sur toute la tige, laçage rapide à stoppeur et inscription OFF sur la semelle. Extérieure crantée noire.;off-white;basket;SS26;1;395;Sand/Black;Knit textile upper, synthetic overlays, rubber sole
;Be Right Back Knit;BERIGHT/SDBLK 41;Baskets Be Right Back en maille technique bicolore sable et noir. Motif graphique sur toute la tige, laçage rapide à stoppeur et inscription OFF sur la semelle. Extérieure crantée noire.;off-white;basket;SS26;1;395;Sand/Black;Knit textile upper, synthetic overlays, rubber sole
;Be Right Back Knit;BERIGHT/SDBLK 42;Baskets Be Right Back en maille technique bicolore sable et noir. Motif graphique sur toute la tige, laçage rapide à stoppeur et inscription OFF sur la semelle. Extérieure crantée noire.;off-white;basket;SS26;1;395;Sand/Black;Knit textile upper, synthetic overlays, rubber sole
;Be Right Back Knit;BERIGHT/SDBLK 43;Baskets Be Right Back en maille technique bicolore sable et noir. Motif graphique sur toute la tige, laçage rapide à stoppeur et inscription OFF sur la semelle. Extérieure crantée noire.;off-white;basket;SS26;1;395;Sand/Black;Knit textile upper, synthetic overlays, rubber sole
;Be Right Back Knit;BERIGHT/SDBLK 44;Baskets Be Right Back en maille technique bicolore sable et noir. Motif graphique sur toute la tige, laçage rapide à stoppeur et inscription OFF sur la semelle. Extérieure crantée noire.;off-white;basket;SS26;1;395;Sand/Black;Knit textile upper, synthetic overlays, rubber sole
;Be Right Back Knit;BERIGHT/SDBLK 45;Baskets Be Right Back en maille technique bicolore sable et noir. Motif graphique sur toute la tige, laçage rapide à stoppeur et inscription OFF sur la semelle. Extérieure crantée noire.;off-white;basket;SS26;1;395;Sand/Black;Knit textile upper, synthetic overlays, rubber sole
;Be Right Back Knit;BERIGHT/YEL 38;Baskets Be Right Back en maille technique gris et noir avec accents jaune fluo. Logo flèches vert pâle, semelle multicouche jaune néon et blanc translucide. Design futuriste à picots.;off-white;basket;SS26;1;395;Light Grey/Yellow Fluo;Knit textile upper, synthetic overlays, rubber sole
;Be Right Back Knit;BERIGHT/YEL 39;Baskets Be Right Back en maille technique gris et noir avec accents jaune fluo. Logo flèches vert pâle, semelle multicouche jaune néon et blanc translucide. Design futuriste à picots.;off-white;basket;SS26;1;395;Light Grey/Yellow Fluo;Knit textile upper, synthetic overlays, rubber sole
;Be Right Back Knit;BERIGHT/YEL 40;Baskets Be Right Back en maille technique gris et noir avec accents jaune fluo. Logo flèches vert pâle, semelle multicouche jaune néon et blanc translucide. Design futuriste à picots.;off-white;basket;SS26;1;395;Light Grey/Yellow Fluo;Knit textile upper, synthetic overlays, rubber sole
;Be Right Back Knit;BERIGHT/YEL 41;Baskets Be Right Back en maille technique gris et noir avec accents jaune fluo. Logo flèches vert pâle, semelle multicouche jaune néon et blanc translucide. Design futuriste à picots.;off-white;basket;SS26;1;395;Light Grey/Yellow Fluo;Knit textile upper, synthetic overlays, rubber sole
;Be Right Back Knit;BERIGHT/YEL 42;Baskets Be Right Back en maille technique gris et noir avec accents jaune fluo. Logo flèches vert pâle, semelle multicouche jaune néon et blanc translucide. Design futuriste à picots.;off-white;basket;SS26;1;395;Light Grey/Yellow Fluo;Knit textile upper, synthetic overlays, rubber sole
;Be Right Back Knit;BERIGHT/YEL 43;Baskets Be Right Back en maille technique gris et noir avec accents jaune fluo. Logo flèches vert pâle, semelle multicouche jaune néon et blanc translucide. Design futuriste à picots.;off-white;basket;SS26;1;395;Light Grey/Yellow Fluo;Knit textile upper, synthetic overlays, rubber sole
;Be Right Back Knit;BERIGHT/YEL 44;Baskets Be Right Back en maille technique gris et noir avec accents jaune fluo. Logo flèches vert pâle, semelle multicouche jaune néon et blanc translucide. Design futuriste à picots.;off-white;basket;SS26;1;395;Light Grey/Yellow Fluo;Knit textile upper, synthetic overlays, rubber sole
;Be Right Back Knit;BERIGHT/YEL 45;Baskets Be Right Back en maille technique gris et noir avec accents jaune fluo. Logo flèches vert pâle, semelle multicouche jaune néon et blanc translucide. Design futuriste à picots.;off-white;basket;SS26;1;395;Light Grey/Yellow Fluo;Knit textile upper, synthetic overlays, rubber sole
